"id","genus","species","subspecies","name","recordist","country","location","latitude","longitude","altitude","sound_type","source_url","license","time","date","remarks","filename"
"557838","Thryomanes","bewickii","","Bewick's Wren","Whitney Neufeld-Kaiser","United States","Arlington, Snohomish County, Washington","48.0708","-122.1006","100","adult, sex uncertain, song","//www.xeno-canto.org/557838","//creativecommons.org/licenses/by-nc-sa/4.0/","11:51","2020-03-14","Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.","557838-0.wav"
"557838","Thryomanes","bewickii","","Bewick's Wren","Whitney Neufeld-Kaiser","United States","Arlington, Snohomish County, Washington","48.0708","-122.1006","100","adult, sex uncertain, song","//www.xeno-canto.org/557838","//creativecommons.org/licenses/by-nc-sa/4.0/","11:51","2020-03-14","Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.","557838-1.wav"
"557838","Thryomanes","bewickii","","Bewick's Wren","Whitney Neufeld-Kaiser","United States","Arlington, Snohomish County, Washington","48.0708","-122.1006","100","adult, sex uncertain, song","//www.xeno-canto.org/557838","//creativecommons.org/licenses/by-nc-sa/4.0/","11:51","2020-03-14","Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.","557838-4.wav"
"557838","Thryomanes","bewickii","","Bewick's Wren","Whitney Neufeld-Kaiser","United States","Arlington, Snohomish County, Washington","48.0708","-122.1006","100","adult, sex uncertain, song","//www.xeno-canto.org/557838","//creativecommons.org/licenses/by-nc-sa/4.0/","11:51","2020-03-14","Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.","557838-5.wav"
"557838","Thryomanes","bewickii","","Bewick's Wren","Whitney Neufeld-Kaiser","United States","Arlington, Snohomish County, Washington","48.0708","-122.1006","100","adult, sex uncertain, song","//www.xeno-canto.org/557838","//creativecommons.org/licenses/by-nc-sa/4.0/","11:51","2020-03-14","Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.","557838-6.wav"
"557838","Thryomanes","bewickii","","Bewick's Wren","Whitney Neufeld-Kaiser","United States","Arlington, Snohomish County, Washington","48.0708","-122.1006","100","adult, sex uncertain, song","//www.xeno-canto.org/557838","//creativecommons.org/licenses/by-nc-sa/4.0/","11:51","2020-03-14","Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.","557838-8.wav"
"557838","Thryomanes","bewickii","","Bewick's Wren","Whitney Neufeld-Kaiser","United States","Arlington, Snohomish County, Washington","48.0708","-122.1006","100","adult, sex uncertain, song","//www.xeno-canto.org/557838","//creativecommons.org/licenses/by-nc-sa/4.0/","11:51","2020-03-14","Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.","557838-9.wav"
"557838","Thryomanes","bewickii","","Bewick's Wren","Whitney Neufeld-Kaiser","United States","Arlington, Snohomish County, Washington","48.0708","-122.1006","100","adult, sex uncertain, song","//www.xeno-canto.org/557838","//creativecommons.org/licenses/by-nc-sa/4.0/","11:51","2020-03-14","Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.","557838-11.wav"
"557838","Thryomanes","bewickii","","Bewick's Wren","Whitney Neufeld-Kaiser","United States","Arlington, Snohomish County, Washington","48.0708","-122.1006","100","adult, sex uncertain, song","//www.xeno-canto.org/557838","//creativecommons.org/licenses/by-nc-sa/4.0/","11:51","2020-03-14","Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.","557838-14.wav"
"557838","Thryomanes","bewickii","","Bewick's Wren","Whitney Neufeld-Kaiser","United States","Arlington, Snohomish County, Washington","48.0708","-122.1006","100","adult, sex uncertain, song","//www.xeno-canto.org/557838","//creativecommons.org/licenses/by-nc-sa/4.0/","11:51","2020-03-14","Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.","557838-15.wav"
"557838","Thryomanes","bewickii","","Bewick's Wren","Whitney Neufeld-Kaiser","United States","Arlington, Snohomish County, Washington","48.0708","-122.1006","100","adult, sex uncertain, song","//www.xeno-canto.org/557838","//creativecommons.org/licenses/by-nc-sa/4.0/","11:51","2020-03-14","Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.","557838-17.wav"
"544036","Thryomanes","bewickii","","Bewick's Wren","Bobby Wilcox","United States","Parker, La Paz County, Arizona","34.2871","-114.0744","150","song","//www.xeno-canto.org/544036","//creativecommons.org/licenses/by-nc-sa/4.0/","08:00","2020-04-10","About 20m away in dense tangled understory of cottonwood and tamarisk dominated riparian area. Song Sparrow sings at about 0:05.","544036-0.wav"
